IR         PC   A    B    S    VAI-UM  
---------------------------------------
111100     0    1    1    0    1       
111100     1    1    1    0    1       
111100     2    1    1    0    1       
111001     3    1    1    0    1       
111011     4    1    1    1    0       
101101     5    1    1    0    1       
101101     6    1    1    0    1       
001100     7    1    1    1    0       
001100     8    1    1    1    0       
011100     9    1    1    1    0       
011100     10   1    1    1    0       
